country_names,gdp_actual,gdp_no_usa,exports_actual,exports_no_usa,imports_actual,imports_no_usa,gdp_pct_change,exports_pct_change,imports_pct_change
Australia,572816.3346265119,564422.0719310474,159737.51903081275,190839.90234209152,159752.10652948628,191092.25164284464,-1.4654370324368928,19.470931751030413,19.617985511554895
Austria,257391.50875767268,252195.51675202893,170840.0322088084,208535.61398662036,170225.22830701433,208155.66386506413,-2.0187115071211013,22.06484117946004,22.282499448107263
Belgium and Luxembourg,319437.9700570151,310542.9224046052,296364.8277294241,360901.4009425297,296019.1483064668,360592.4855592236,-2.784593093558114,21.776056797140033,21.813905493000213
Canada,964107.1905820983,845002.2354696468,479597.6997931425,311204.40651760495,482729.4998301854,311140.192090424,-12.353912124702614,-35.11136382600835,-35.545643636886304
China,5.830126112598322e6,5.78446972775581e6,1.0383824835284321e6,1.249532552699043e6,1.0393756573849785e6,1.2520482179828677e6,-0.7831114449454755,20.334517629103413,20.46156835469513
Colombia,233758.67554936215,225989.42600909245,38386.682824332805,41738.013336833195,39023.56977961166,42088.83706070495,-3.3236197638487583,8.730450942679596,7.854912552605013
Denmark,146771.24234814616,144063.67210380264,131542.65547774918,163674.92165538674,130586.72658570163,162807.40361726657,-1.8447552810931926,24.42725978195934,24.673776480965014
Finland,145936.9828705407,144861.361846727,96793.49914620839,124420.35494802729,96004.4973346443,123668.27905347738,-0.7370448550165466,28.542057106632775,28.815089383161947
France,1.7577512650725846e6,1.7320148709144685e6,869252.6706813402,1.0618720459168782e6,863887.2232384946,1.0579128302443912e6,-1.4641658731534644,22.15919280231357,22.459599098889754
Germany,2.4694343374005426e6,2.4136096589627657e6,1.477577157666818e6,1.7490543702628103e6,1.4699940554422995e6,1.7429404066609063e6,-2.2606261520013073,18.37313274554615,18.567854081320167
Greece,212840.28080732885,210143.6860929078,62296.85481666565,77843.99359157929,62382.59184689572,78091.09871925051,-1.26695694263912,24.95653885042439,25.180914109673182
India,2.2795001633242345e6,2.2475698956823293e6,174735.1557179442,205176.6621687947,173114.20765100242,203635.06396542778,-1.4007574184746172,17.421512188416663,17.63047454542569
Ireland,155096.9857541878,153623.8425375043,175259.91387784283,224510.288777378,175073.39295748048,224171.7232300749,-0.9498206619039491,28.101334646246016,28.044427221741664
Italy,1.59385185107576e6,1.5852286183267222e6,613106.6782909778,759616.3214694869,608643.7735186463,757096.6495943747,-0.5410310088241711,23.896272600863146,24.39076558978065
Japan,3.791544416525808e6,3.756824221579707e6,1.2055953998809701e6,1.376901600297828e6,1.2064190873668964e6,1.38324718181708e6,-0.9157269738096606,14.209261285649488,14.657269294049758
Mexico,970396.6268614135,880632.4821954358,241093.59662225115,191824.5944759796,244406.04821641874,191158.56420359382,-9.250253162596504,-20.435632815029475,-21.78648376396761
Netherlands,495013.22985691705,481862.9751432291,381022.17340741813,458069.9301081106,380400.1579281902,457257.75446406816,-2.656546112411782,20.221331480965308,20.204407105000918
Norway,182858.8123248171,180425.0731786297,109077.7211002289,136323.13600621303,108394.72208266653,135761.06415593316,-1.330938944229967,24.97798325007998,25.246932274429252
Portugal,181394.6510024472,185009.90159540574,144355.05577158424,200981.57093908457,144305.41052439885,201030.80574635282,1.9930304300482145,39.227247611681534,39.309264299804596
ROW,1.3717910706239589e7,1.3296869510496847e7,2.9927239732880886e6,3.080072556247308e6,3.006866222354384e6,3.094310581995407e6,-3.0692807728456106,2.918698274176284,2.908155972850492
South Korea,929229.6878522236,906323.7358636383,323563.9588388507,364541.14516010415,322733.3821183358,363431.2247128963,-2.465047370745224,12.664323451939802,12.610360393285221
Spain,1.076663789443423e6,1.0598001421450528e6,393039.5218503,484400.0614385987,392249.5215332881,484638.6144634021,-1.5662872164659545,23.24461905464456,23.55365344206631
Sweden,274074.7478127512,269668.00710660743,202471.28494347964,247686.73185937566,201116.1594127866,246474.06804188437,-1.6078608997405643,22.331782469063718,22.55309009556096
United Kingdom,1.7870230785127147e6,1.7502062152896675e6,871612.9189798773,1.0307288757549004e6,867690.5648013114,1.0277000880156503e6,-2.0602343453610454,18.25534630226111,18.440850886857206
United States,1.1717820308031643e7,1.0898176812081363e7,2.600958869418474e6,5.889796473510907e-12,2.6079953498404403e6,2.339021901321022e-10,-6.994846092566198,-100.0,-99.99999999999999
