country_names,gdp_actual,gdp_unilateral20,exports_actual,exports_unilateral20,imports_actual,imports_unilateral20,gdp_pct_change,exports_pct_change,imports_pct_change
Australia,572816.0,572155.0,159738.0,138447.0,159752.0,138548.0,-0.1,-13.3,-13.3
Austria,257392.0,256723.0,170840.0,148269.0,170225.0,147811.0,-0.3,-13.2,-13.2
Belgium and Luxembourg,319438.0,318372.0,296365.0,257396.0,296019.0,257157.0,-0.3,-13.1,-13.1
Canada,964107.0,949121.0,479598.0,395832.0,482729.0,398160.0,-1.6,-17.5,-17.5
China,5.830126e6,5.824714e6,1.038382e6,899047.0,1.039376e6,900444.0,-0.1,-13.4,-13.4
Colombia,233759.0,233022.0,38387.0,32981.0,39024.0,33503.0,-0.3,-14.1,-14.1
Denmark,146771.0,146209.0,131543.0,114090.0,130587.0,113315.0,-0.4,-13.3,-13.2
Finland,145937.0,145634.0,96793.0,84191.0,96004.0,83561.0,-0.2,-13.0,-13.0
France,1.757751e6,1.753734e6,869253.0,753130.0,863887.0,749060.0,-0.2,-13.4,-13.3
Germany,2.469434e6,2.462417e6,1.477577e6,1.278153e6,1.469994e6,1.272311e6,-0.3,-13.5,-13.4
Greece,212840.0,212477.0,62297.0,54149.0,62383.0,54269.0,-0.2,-13.1,-13.0
India,2.2795e6,2.276359e6,174735.0,150744.0,173114.0,149423.0,-0.1,-13.7,-13.7
Ireland,155097.0,155059.0,175260.0,153410.0,175073.0,153245.0,-0.0,-12.5,-12.5
Italy,1.593852e6,1.592373e6,613107.0,531415.0,608644.0,528117.0,-0.1,-13.3,-13.2
Japan,3.791544e6,3.787055e6,1.205595e6,1.0376e6,1.206419e6,1.039732e6,-0.1,-13.9,-13.8
Mexico,970397.0,961806.0,241094.0,201618.0,244406.0,204126.0,-0.9,-16.4,-16.5
Netherlands,495013.0,493261.0,381022.0,329907.0,380400.0,329423.0,-0.4,-13.4,-13.4
Norway,182859.0,182344.0,109078.0,94698.0,108395.0,94171.0,-0.3,-13.2,-13.1
Portugal,181395.0,181968.0,144355.0,127685.0,144305.0,127696.0,0.3,-11.5,-11.5
ROW,1.3717911e7,1.3663982e7,2.992724e6,2.541857e6,3.006866e6,2.554792e6,-0.4,-15.1,-15.0
South Korea,929230.0,926373.0,323564.0,277797.0,322733.0,277181.0,-0.3,-14.1,-14.1
Spain,1.076664e6,1.074506e6,393040.0,341249.0,392250.0,340889.0,-0.2,-13.2,-13.1
Sweden,274075.0,273436.0,202471.0,175583.0,201116.0,174510.0,-0.2,-13.3,-13.2
United Kingdom,1.787023e6,1.781737e6,871613.0,752386.0,867691.0,749422.0,-0.3,-13.7,-13.6
United States,1.171782e7,7.978147e6,2.600959e6,1.993664e6,2.607995e6,1.994429e6,-31.9,-23.3,-23.5
