country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0010566604877485996,0.0010874523396595729,0.001009833870032301,0.0010272467080127117,0.0,0.0,-2.8315587532427076,-1.601250679718221,-1.2303080735244865
Austria,0.00038400780171209776,0.0006026226899344761,0.0004011781991846171,0.0009446335446948145,0.0,0.0,-36.27724144375457,-90.1816932198965,53.90445177614193
Belgium and Luxembourg,0.0004696088771585518,0.001660953490940608,0.0005113949809605257,0.002275660766578451,0.0,0.0,-71.7265486529301,-106.22005945625912,34.49351080332901
Canada,0.00032583342143619734,0.0011120094630259608,0.0004425190326256961,0.0016957870335177238,0.0,0.0,-70.69868267581546,-112.70299782177025,42.004315145954784
China,0.008242326805620722,0.008026156413138115,0.009300501859950707,0.00919739892264381,0.0,0.0,2.6933239443073282,1.2845866938018713,1.4087372505054572
Colombia,0.0010000870310777625,0.0013935697418068435,0.001747427570193118,0.002407526077497117,0.0,0.0,-28.235595171498765,-47.367454064275485,19.13185889277671
Denmark,0.0004051592919259954,0.0015369548904338606,0.0004569582798667674,0.0006239282826264069,0.0,0.0,-73.6388299716705,-10.863689220736092,-62.77514075093441
Finland,0.0005215339296902641,0.0007428932934147838,0.0005892861025589255,0.0009914268375617124,0.0,0.0,-29.796925842070678,-54.13169543559971,24.334769593529032
France,0.00020943057240276742,0.0002877347748258638,0.00023099732026895812,0.00016820384321708523,0.0,0.0,-27.214021131260843,21.823388253948558,-49.03740938520939
Germany,0.00022225394808699186,0.00038755443429462194,0.00028429681214031503,0.00040199324306923115,0.0,0.0,-42.65219839594644,-30.369006393419916,-12.283192002526542
Greece,0.0004674373894469026,0.0006102017037235429,0.00042431063131323054,0.0004338645680229487,0.0,0.0,-23.396249699971484,-1.5657014150269686,-21.830548284944516
India,0.001320622669925284,0.0014387265722733155,0.001142073243037353,0.001219035212534434,0.0,0.0,-8.208919236225476,-5.349311744167925,-2.859607492057551
Ireland,0.0006830276859027135,0.0013131146972196687,0.0010442236891240874,0.0017310908112516288,0.0,0.0,-47.98415649836787,-52.30823503703703,4.3240785386691725
Italy,0.00022098730566085052,0.00029728772742017556,0.00017789427404047413,0.00012164728317670733,0.0,0.0,-25.665513481316644,18.92005141008373,-44.58556489140039
Japan,0.0003692563803405608,0.0003755459868251515,0.00025850211137992414,0.00023480735091105118,0.0,0.0,-1.6747899605485768,6.309416502939459,-7.984206463488035
Mexico,0.0009316384753870003,0.0018001610404541131,0.003161932275708534,0.004957840873950087,0.0,0.0,-48.24693711002751,-99.76377434479487,51.51683723476737
Netherlands,0.00021093067512529775,0.000789195695764728,0.0002405180462565679,0.0012696464051082487,0.0,0.0,-73.27270330321471,-130.40217583225146,57.12947252903675
Norway,0.0006737425247458328,0.0008476195682863003,0.0011988241559453595,0.0018968396446027115,0.0,0.0,-20.51357118760348,-82.35009133502962,61.836520147426135
Portugal,0.001633684609954828,0.0015672496584600004,0.0017041377323723267,0.0021315854238146193,0.0,0.0,4.238951409956433,-27.27374602603571,31.51269743599214
ROW,0.001712167869427066,0.001704451315077035,0.002421814021515105,0.002439163461959444,0.0,0.0,0.4527295254357112,-1.0178900559301176,1.4706195813658416
South Korea,0.0009760020721109183,0.0009440844778375294,0.0008017502741823626,0.0007783707435997439,0.0,0.0,3.3807985432085106,2.476423575586234,0.9043749676222768
Spain,0.00019177711569183365,0.0009069316749961404,0.0002408424054223052,0.0004979325385900341,0.0,0.0,-78.85429288897095,-28.34724381732758,-50.50704907164338
Sweden,0.0002906366815875432,0.0004671886249272687,0.00038309941016816015,0.0004218625492790362,0.0,0.0,-37.79029152672775,-8.29710678784413,-29.49318473888363
United Kingdom,0.0002828314334622641,0.0005500495515051506,0.00022415895102960432,0.0003006789562038858,0.0,0.0,-48.58073555585552,-13.911474878016502,-34.66926067783902
United States,0.00037155358153597833,0.0003770574839594516,0.0003985208240326905,0.0003759976035183308,0.0,0.0,-1.4596984962815762,5.973418237942168,-7.433116734223743
