country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0010612984616522045,0.0010877238153133117,0.001009161607320839,0.0010267747381865666,2.2252778427e-314,2.225279234e-314,-2.4294175864390297,-1.6192649841590796,-0.8101526022799501
Austria,0.0003925507223168247,0.0006256398988312279,0.0004020836418767372,0.0009410019688064862,5.401433044e-314,5.4014339926e-314,-37.256124001976595,-86.1387401820943,48.88261618011771
Belgium and Luxembourg,0.0004704779612534438,0.001665102599659854,0.000511595110073416,0.002274235154161476,2.508964977e-314,2.508964977e-314,-71.74480651525302,-105.85774380798702,34.11293729273401
Canada,0.0003259916690950134,0.0011122324483924622,0.0004426152263468555,0.0016968495380236981,2.225277811e-314,2.2252792024e-314,-70.69032920535834,-112.76728290831825,42.076953702959926
China,0.00822644654713009,0.008026529409173588,0.009298172035875343,0.009197298452556095,2.2117149423e-314,2.2117166024e-314,2.490704609242623,1.2567521798893444,1.2339524293532784
Colombia,0.0010096444276164159,0.0013925731635499978,0.0017459004276635165,0.002406486740822646,2.2252779376e-314,2.225279392e-314,-27.49792585097692,-47.436381114449965,19.938455263473063
Denmark,0.0004108308412387036,0.0016091936316665564,0.0004564932578826965,0.0006255122932439255,2.2183693663e-314,2.218369959e-314,-74.46976963156212,-10.503337325924225,-63.96643230563788
Finland,0.000517658407921757,0.0007414437547867603,0.0005890436634935686,0.0009907827493659783,2.21836939e-314,2.218369983e-314,-30.182376669874863,-54.18335285431733,24.00097618444247
France,0.00020881794346914206,0.0002869954169770166,0.00023115728498407755,0.00016820913212089658,2.2183694137e-314,2.2183700066e-314,-27.239972795152763,21.933504557747707,-49.17347735290046
Germany,0.00022289458009269527,0.0003894080864450669,0.0002841580726066973,0.0004019325735104461,2.2252780957e-314,2.2252795186e-314,-42.76066988553957,-30.244492860669705,-12.516177024869876
Greece,0.00046261209573100667,0.000611908836369857,0.00042370957383967096,0.0004336850811471615,2.2252781273e-314,2.22527955e-314,-24.398526670173904,-1.630227693175688,-22.768298976998224
India,0.0013150568151662056,0.0014377996612897517,0.0011417460520293597,0.0012191211192256876,2.225278159e-314,2.225279582e-314,-8.536853181161687,-5.3814915443031905,-3.1553616368584967
Ireland,0.0006920107980235031,0.0013162714018456097,0.0010372343213343798,0.001732287946948672,2.2183693426e-314,2.2183699354e-314,-47.426435228084394,-52.8047349991592,5.378299771074797
Italy,0.00022056634425303285,0.00029824374143162243,0.00017807500429531414,0.00012166308373914803,5.402061203e-314,5.402061203e-314,-26.044937877229014,18.914703887960552,-44.959641765189566
Japan,0.00036827266935947545,0.0003763195317114797,0.00025791829024807454,0.0002345430327092654,1.5637e-319,1.5637e-319,-2.138305794389036,6.211545128284945,-8.34985092267398
Mexico,0.0009296819886546723,0.001813184645653003,0.0031625969871734647,0.004954700536392199,1.0e-323,1.0e-323,-48.72656842293879,-98.83734420072389,50.11077577778508
Netherlands,0.00020808132941943936,0.0007881222565864826,0.00024047756576207443,0.0012688393936810826,2.225278222e-314,2.225279645e-314,-73.59783616304888,-130.48252594376058,56.88468978071166
Norway,0.0006780218202464669,0.0008385831654132073,0.001198448705755952,0.0018968670502554866,2.508964977e-314,2.508964977e-314,-19.146740811047007,-83.28551935041445,64.13877853936745
Portugal,0.0016307418263274206,0.001571195016838625,0.0017004227626641404,0.0021271981220386486,2.2308078997e-314,2.230808121e-314,3.789905699205229,-27.162468999756356,30.952374698961584
ROW,0.0017197455464188491,0.0017025011457560432,0.002422341113080519,0.002439420970876922,2.2308079155e-314,2.230808137e-314,1.0128862882584466,-1.0032215155319775,2.016107803790424
South Korea,0.0009711995535275432,0.0009483121651841494,0.0007984671403320966,0.0007785514231537726,5.3923496985e-314,5.3923498013e-314,2.413486738193361,2.1001225028529134,0.31336423534044755
Spain,0.00018908228821337984,0.0009051465354418397,0.0002404889761742795,0.0004982728882825896,5.0e-324,5.0e-324,-79.1103118876679,-28.47979879660867,-50.63051309105923
Sweden,0.00029000767819413155,0.00046875000728228993,0.00038276463706009636,0.0004220762681014071,1.5637e-319,1.5637e-319,-38.13169627974351,-8.386481158524342,-29.745215121219168
United Kingdom,0.00028218823747981235,0.0005514057431484459,0.0002239155991598748,0.00030084004764586325,2.2183694374e-314,2.218370054e-314,-48.82384868380969,-13.950607051490092,-34.8732416323196
United States,0.0003703720430200833,0.0003753728839426594,0.00039926014743378433,0.00037609575282052934,2.2086866045e-314,2.2086866045e-314,-1.3322328640392727,6.171035683225724,-7.503268547264995
